ID,Round,Home,Away,Phase,Team_In_Poss,Location,Side,Play_Start,Points_Difference,Seconds_Remaining,Yellow_Cards_Own,Yellow_Cards_Opp,Red_Cards_Own,Red_Cards_Opp,Outcome
116,1,Harlequins,Sale,1,Away,5m-22m (own),Left,Kick (Open Play),-7,2067,0,0,0,0,Against Penalty Kick (-3)
117,1,Harlequins,Sale,1,Home,22m-10m (own),Right,Kick (Open Play),7,2057,0,0,0,0,For Penalty Kick (+3)
118,1,Harlequins,Sale,2,Home,22m-10m (own),Right,Kick (Open Play),7,2049,0,0,0,0,For Penalty Kick (+3)
119,1,Harlequins,Sale,3,Home,22m-10m (own),Centre,Kick (Open Play),7,2042,0,0,0,0,For Penalty Kick (+3)
120,1,Harlequins,Sale,4,Home,22m-10m (own),Centre,Kick (Open Play),7,2027,0,0,0,0,For Penalty Kick (+3)
121,1,Harlequins,Sale,1,Home,Half-10m (opp),Right,Kick (Open Play),7,2020,0,0,0,0,For Penalty Kick (+3)
122,1,Harlequins,Sale,1,Home,10m-22m (opp),Right,Scrum,7,1970,0,0,0,0,For Penalty Kick (+3)
123,1,Harlequins,Sale,2,Home,10m-22m (opp),Right,Scrum,7,1956,0,0,0,0,For Penalty Kick (+3)
124,1,Harlequins,Sale,3,Home,10m-22m (opp),Right,Scrum,7,1949,0,0,0,0,For Penalty Kick (+3)
125,1,Harlequins,Sale,1,Home,22m-5m (opp),Centre,Kick (Open Play),7,1940,0,0,0,0,For Penalty Kick (+3)
126,1,Harlequins,Sale,1,Away,10m-22m (opp),Right,Restart Kick,-10,1837,0,0,0,0,For Penalty Kick (+3)
127,1,Harlequins,Sale,1,Home,5m-22m (own),Left,Kick (Open Play),10,1834,0,0,0,0,Against Penalty Kick (-3)
128,1,Harlequins,Sale,2,Home,Goal-5m (own),Left,Kick (Open Play),10,1825,0,0,0,0,Against Penalty Kick (-3)
129,1,Harlequins,Sale,1,Away,Half-10m (opp),Right,Kick (Open Play),-10,1814,0,0,0,0,For Penalty Kick (+3)
130,1,Harlequins,Sale,2,Away,10m-22m (opp),Centre,Kick (Open Play),-10,1804,0,0,0,0,For Penalty Kick (+3)
131,1,Harlequins,Sale,3,Away,10m-22m (opp),Centre,Kick (Open Play),-10,1796,0,0,0,0,For Penalty Kick (+3)
132,1,Harlequins,Sale,1,Home,10m-22m (opp),Left,Restart Kick,7,1689,0,0,0,0,For Converted Try (+7)
133,1,Harlequins,Sale,1,Home,22m-5m (opp),Left,Lineout,7,1642,0,0,0,0,For Converted Try (+7)
134,1,Harlequins,Sale,1,Away,5m-22m (own),Right,Scrum,-7,1576,0,0,0,0,Against Converted Try (-7)
135,1,Harlequins,Sale,2,Away,5m-22m (own),Right,Scrum,-7,1563,0,0,0,0,Against Converted Try (-7)
136,1,Harlequins,Sale,3,Away,5m-22m (own),Right,Scrum,-7,1554,0,0,0,0,Against Converted Try (-7)
137,1,Harlequins,Sale,1,Home,10m-22m (opp),Left,Lineout,7,1525,0,0,0,0,For Converted Try (+7)
138,1,Harlequins,Sale,2,Home,10m-22m (opp),Centre,Lineout,7,1513,0,0,0,0,For Converted Try (+7)
139,1,Harlequins,Sale,3,Home,10m-22m (opp),Centre,Lineout,7,1506,0,0,0,0,For Converted Try (+7)
140,1,Harlequins,Sale,4,Home,10m-22m (opp),Left,Lineout,7,1498,0,0,0,0,For Converted Try (+7)
141,1,Harlequins,Sale,5,Home,10m-22m (opp),Centre,Lineout,7,1490,0,0,0,0,For Converted Try (+7)
142,1,Harlequins,Sale,6,Home,10m-22m (opp),Right,Lineout,7,1481,0,0,0,0,For Converted Try (+7)
143,1,Harlequins,Sale,7,Home,22m-5m (opp),Centre,Lineout,7,1471,0,0,0,0,For Converted Try (+7)
144,1,Harlequins,Sale,1,Home,10m-Half (own),Left,Restart Kick,14,1361,0,0,0,0,For Converted Try (+7)
145,1,Harlequins,Sale,2,Home,22m-10m (own),Left,Restart Kick,14,1353,0,0,0,0,For Converted Try (+7)
146,1,Harlequins,Sale,3,Home,Half-10m (opp),Right,Restart Kick,14,1340,0,0,0,0,For Converted Try (+7)
147,1,Harlequins,Sale,4,Home,Half-10m (opp),Centre,Restart Kick,14,1332,0,0,0,0,For Converted Try (+7)
148,1,Harlequins,Sale,5,Home,10m-Half (own),Centre,Restart Kick,14,1322,0,0,0,0,For Converted Try (+7)
149,1,Harlequins,Sale,6,Home,10m-Half (own),Centre,Restart Kick,14,1315,0,0,0,0,For Converted Try (+7)
150,1,Harlequins,Sale,1,Away,22m-10m (own),Left,Kick (Open Play),-14,1309,0,0,0,0,Against Converted Try (-7)
151,1,Harlequins,Sale,2,Away,22m-10m (own),Left,Kick (Open Play),-14,1302,0,0,0,0,Against Converted Try (-7)
152,1,Harlequins,Sale,3,Away,22m-10m (own),Centre,Kick (Open Play),-14,1289,0,0,0,0,Against Converted Try (-7)
153,1,Harlequins,Sale,1,Home,10m-22m (opp),Centre,Turnover Steal,14,1284,0,0,0,0,For Converted Try (+7)
154,1,Harlequins,Sale,1,Away,10m-22m (opp),Right,Lineout,-14,1220,0,0,0,0,Against Converted Try (-7)
155,1,Harlequins,Sale,2,Away,10m-22m (opp),Centre,Lineout,-14,1205,0,0,0,0,Against Converted Try (-7)
156,1,Harlequins,Sale,3,Away,10m-22m (opp),Centre,Lineout,-14,1200,0,0,0,0,Against Converted Try (-7)
157,1,Harlequins,Sale,4,Away,10m-22m (opp),Centre,Lineout,-14,1194,0,0,0,0,Against Converted Try (-7)
158,1,Harlequins,Sale,5,Away,22m-5m (opp),Right,Lineout,-14,1186,0,0,0,0,Against Converted Try (-7)
159,1,Harlequins,Sale,6,Away,22m-5m (opp),Centre,Lineout,-14,1179,0,0,0,0,Against Converted Try (-7)
160,1,Harlequins,Sale,1,Home,5m-22m (own),Centre,Turnover Steal,14,1159,0,0,0,0,For Converted Try (+7)
161,1,Harlequins,Sale,1,Home,5m-22m (own),Left,Kick (Open Play),14,1156,0,0,0,0,For Converted Try (+7)
162,1,Harlequins,Sale,1,Away,Half-10m (opp),Right,Kick (Open Play),-14,1146,0,0,0,0,Against Converted Try (-7)
163,1,Harlequins,Sale,2,Away,10m-22m (opp),Centre,Kick (Open Play),-14,1133,0,0,0,0,Against Converted Try (-7)
164,1,Harlequins,Sale,1,Away,22m-5m (opp),Right,Lineout,-14,1084,0,0,0,0,Against Converted Try (-7)
165,1,Harlequins,Sale,1,Away,22m-5m (opp),Left,Lineout,-14,992,0,0,0,0,Against Converted Try (-7)
166,1,Harlequins,Sale,1,Away,22m-5m (opp),Left,Lineout,-14,958,0,0,0,0,Against Converted Try (-7)
167,1,Harlequins,Sale,1,Away,22m-5m (opp),Left,Quick Tap,-14,925,0,0,0,0,Against Converted Try (-7)
168,1,Harlequins,Sale,1,Away,22m-5m (opp),Left,Lineout,-14,906,0,0,0,0,Against Converted Try (-7)
169,1,Harlequins,Sale,1,Home,Goal-5m (own),Left,Scrum,14,848,0,0,0,0,For Converted Try (+7)
